"goal";"degree";"distance";"shot_headed";"crosses";"corner";"pass_throw_in";"pass_long_ball";"pass_through_ball";"pass_headed"
0;138.189135914733;24.1497411994415;0;1;0;0;0;0;0
1;75.579226872489;7.22772439983706;0;1;0;0;0;0;0
0;107.128047473597;33.275817044815;0;0;0;0;0;0;0
0;39.007472552121;12.8689548915209;0;0;0;1;0;0;0
0;119.088851422861;16.2496153800636;0;1;0;0;0;0;0
0;67.7703789087622;12.4233650835834;0;1;1;0;0;0;0
0;150.61279352311;31.7907219169367;0;1;0;0;0;0;0
0;45;16.5462986797652;0;1;0;0;0;0;0
0;123.863690568818;18.3051905207239;0;0;0;0;0;0;0
0;123.5506620115;22.7982455465327;0;0;0;0;0;0;0
1;62.4957578771864;13.641847382228;0;0;0;0;0;0;0
0;118.166069179321;28.811803136909;0;1;1;0;0;0;0
0;150.816176951057;21.5334623319149;0;0;0;0;0;0;0
0;116.796081293973;11.0909873320638;1;1;1;0;0;0;0
0;58.8971763150154;14.1315250415516;1;1;1;0;0;0;0
0;112.225030451114;10.0463923873199;1;1;1;0;0;0;0
0;136.945146761414;18.7491333133028;0;0;0;0;0;0;0
0;37.9236218223632;20.6634943801865;0;0;0;0;0;0;0
0;140.248143685292;40.971819583709;0;0;0;0;0;0;0
0;24.1022345011611;20.8146582964986;0;0;0;0;0;0;0
0;113.041959467218;24.0160363090998;0;1;0;0;0;0;0
0;104.036243467926;13.1939380019765;1;1;1;0;0;0;0
0;109.124303279423;47.3110980637736;0;0;0;0;0;0;0
0;97.8376136778984;24.9329099785805;0;1;0;0;0;0;0
0;112.988716802081;14.3387586631479;0;0;0;0;0;0;0
0;33.2152514937372;30.1212549539358;0;0;0;0;0;0;0
0;129.603707760101;21.8048159817963;0;0;0;0;0;0;0
0;43.0548532385857;18.7491333133028;0;0;0;0;0;0;0
0;43.1794756662044;28.9352725924606;0;1;1;0;0;0;0
0;155.892029037153;23.9927072253216;0;0;0;0;0;0;0
0;41.6126131945083;22.7378539004894;0;0;0;0;0;0;0
0;66.8014094863518;12.1852369693823;0;0;0;0;0;0;0
0;82.6319489283778;23.3931613938775;0;1;0;0;0;0;0
1;32.7352262721075;6.65732679083729;0;1;0;0;0;0;1
0;85.3225821411183;11.0367567699936;1;1;0;0;0;0;0
1;57.4499965078066;5.57584074378026;1;1;1;0;0;0;0
0;67.5205656028969;28.2462386876554;0;1;0;0;0;0;0
1;47.0700306530411;5.87281874401041;0;0;0;0;0;0;0
0;53.3699995406034;28.6602512201132;0;1;1;0;0;0;0
0;157.217594269518;27.1154937259125;0;0;0;0;0;0;0
0;37.9542308751325;12.6822710899902;1;1;1;0;0;0;0
0;82.4941282417821;29.8558202031028;0;0;0;0;0;0;0
0;45;39.4565583902094;0;0;0;0;0;0;0
0;53.8203795520211;16.6012047755577;0;0;0;0;0;0;0
0;48.1108406534908;39.0898963928021;0;0;0;0;0;0;0
0;26.565051177078;28.1744565164973;0;1;0;0;0;0;1
0;157.858761879866;15.6543923548632;1;1;0;0;0;0;0
1;10.8403054543306;9.57078889120432;0;1;1;0;0;0;0
0;112.661793794938;21.0230825522805;0;0;0;0;0;0;0
0;68.3691131634821;24.9575639836904;0;0;0;0;0;0;0
0;59.172337700132;7.22011080247388;1;1;0;0;0;0;0
0;153.970407808487;14.3561833368065;0;0;0;0;0;0;0
0;36.7771861094251;24.7200323624384;0;0;0;0;0;0;0
0;121.827446576673;6.8264192663504;1;1;1;0;0;0;0
0;90.4511385467873;12.7003936946852;0;1;0;0;0;0;0
0;33.3800284551794;25.6275242659138;0;0;0;0;0;0;0
0;135.130514078391;31.0420682300648;0;0;0;0;0;0;0
0;160.155372433868;14.1396605334074;0;1;1;0;0;0;0
0;48.7429882956872;7.58221603490695;1;1;0;0;0;0;0
0;107.586755641698;23.4982978106926;0;0;0;0;0;0;0
0;74.0888514228605;22.9804264538324;0;1;0;0;0;0;0
0;75.4655449194599;11.1570605447851;0;1;0;0;0;0;0
0;82.2079219217816;19.177069640589;0;0;0;0;0;0;0
0;43.0113621435259;40.7538955193243;0;0;0;0;0;0;0
1;29.5877634654186;13.5694509837355;0;1;0;0;0;0;0
0;84.1140121669717;19.5028203088682;0;1;0;0;0;0;0
0;38.7187242019761;30.3758127463283;0;0;0;0;0;0;0
0;88.712671058475;8.90224690738243;0;1;1;0;0;0;1
0;40.3258362888692;22.561028345357;0;0;0;0;0;0;0
0;64.1197263299312;33.677588987337;0;0;0;0;0;0;0
0;102.875001559612;10.7707938426097;1;1;0;0;0;0;0
0;37.9024241564298;36.6259470867307;0;0;0;0;0;0;0
0;112.590162628507;29.6769270646406;0;0;0;0;0;0;0
1;96.604835496754;9.56347217280419;1;1;0;0;0;0;0
0;84.4470289669632;7.23394774656273;1;1;1;0;0;0;0
0;72.328949638008;23.7191905426808;0;0;0;0;0;0;0
0;79.0771952801308;23.22068043792;0;0;0;0;0;0;0
0;18.7185889786798;12.7757582945201;0;1;1;0;0;0;0
